data,ano,mes,dia,dia_da_semana,nome_mes,dia_da_semana_num,fim_de_semana,data_chave
2023-10-19,2023,10,19,Quinta-feira,Outubro,3,False,20231019
2023-10-20,2023,10,20,Sexta-feira,Outubro,4,False,20231020
2023-10-21,2023,10,21,Sábado,Outubro,5,True,20231021
2023-10-22,2023,10,22,Domingo,Outubro,6,True,20231022
2023-10-23,2023,10,23,Segunda-feira,Outubro,0,False,20231023
2023-10-24,2023,10,24,Terça-feira,Outubro,1,False,20231024
2023-10-25,2023,10,25,Quarta-feira,Outubro,2,False,20231025
2023-10-26,2023,10,26,Quinta-feira,Outubro,3,False,20231026
2023-10-27,2023,10,27,Sexta-feira,Outubro,4,False,20231027
2023-10-28,2023,10,28,Sábado,Outubro,5,True,20231028
2023-10-29,2023,10,29,Domingo,Outubro,6,True,20231029
2023-10-30,2023,10,30,Segunda-feira,Outubro,0,False,20231030
2023-10-31,2023,10,31,Terça-feira,Outubro,1,False,20231031
2023-11-01,2023,11,1,Quarta-feira,Novembro,2,False,20231101
2023-11-02,2023,11,2,Quinta-feira,Novembro,3,False,20231102
2023-11-03,2023,11,3,Sexta-feira,Novembro,4,False,20231103
2023-11-04,2023,11,4,Sábado,Novembro,5,True,20231104
2023-11-05,2023,11,5,Domingo,Novembro,6,True,20231105
2023-11-06,2023,11,6,Segunda-feira,Novembro,0,False,20231106
2023-11-07,2023,11,7,Terça-feira,Novembro,1,False,20231107
2023-11-08,2023,11,8,Quarta-feira,Novembro,2,False,20231108
2023-11-09,2023,11,9,Quinta-feira,Novembro,3,False,20231109
2023-11-10,2023,11,10,Sexta-feira,Novembro,4,False,20231110
2023-11-11,2023,11,11,Sábado,Novembro,5,True,20231111
2023-11-12,2023,11,12,Domingo,Novembro,6,True,20231112
2023-11-13,2023,11,13,Segunda-feira,Novembro,0,False,20231113
2023-11-14,2023,11,14,Terça-feira,Novembro,1,False,20231114
2023-11-15,2023,11,15,Quarta-feira,Novembro,2,False,20231115
2023-11-16,2023,11,16,Quinta-feira,Novembro,3,False,20231116
2023-11-17,2023,11,17,Sexta-feira,Novembro,4,False,20231117
2023-11-18,2023,11,18,Sábado,Novembro,5,True,20231118
2023-11-19,2023,11,19,Domingo,Novembro,6,True,20231119
2023-11-20,2023,11,20,Segunda-feira,Novembro,0,False,20231120
2023-11-21,2023,11,21,Terça-feira,Novembro,1,False,20231121
2023-11-22,2023,11,22,Quarta-feira,Novembro,2,False,20231122
2023-11-23,2023,11,23,Quinta-feira,Novembro,3,False,20231123
2023-11-24,2023,11,24,Sexta-feira,Novembro,4,False,20231124
2023-11-25,2023,11,25,Sábado,Novembro,5,True,20231125
2023-11-26,2023,11,26,Domingo,Novembro,6,True,20231126
2023-11-27,2023,11,27,Segunda-feira,Novembro,0,False,20231127
2023-11-28,2023,11,28,Terça-feira,Novembro,1,False,20231128
2023-11-29,2023,11,29,Quarta-feira,Novembro,2,False,20231129
2023-11-30,2023,11,30,Quinta-feira,Novembro,3,False,20231130
2023-12-01,2023,12,1,Sexta-feira,Dezembro,4,False,20231201
2023-12-02,2023,12,2,Sábado,Dezembro,5,True,20231202
2023-12-03,2023,12,3,Domingo,Dezembro,6,True,20231203
2023-12-04,2023,12,4,Segunda-feira,Dezembro,0,False,20231204
2023-12-05,2023,12,5,Terça-feira,Dezembro,1,False,20231205
2023-12-06,2023,12,6,Quarta-feira,Dezembro,2,False,20231206
2023-12-07,2023,12,7,Quinta-feira,Dezembro,3,False,20231207
2023-12-08,2023,12,8,Sexta-feira,Dezembro,4,False,20231208
2023-12-09,2023,12,9,Sábado,Dezembro,5,True,20231209
2023-12-10,2023,12,10,Domingo,Dezembro,6,True,20231210
2023-12-11,2023,12,11,Segunda-feira,Dezembro,0,False,20231211
2023-12-12,2023,12,12,Terça-feira,Dezembro,1,False,20231212
2023-12-13,2023,12,13,Quarta-feira,Dezembro,2,False,20231213
2023-12-14,2023,12,14,Quinta-feira,Dezembro,3,False,20231214
2023-12-15,2023,12,15,Sexta-feira,Dezembro,4,False,20231215
2023-12-16,2023,12,16,Sábado,Dezembro,5,True,20231216
2023-12-17,2023,12,17,Domingo,Dezembro,6,True,20231217
2023-12-18,2023,12,18,Segunda-feira,Dezembro,0,False,20231218
2023-12-19,2023,12,19,Terça-feira,Dezembro,1,False,20231219
2023-12-20,2023,12,20,Quarta-feira,Dezembro,2,False,20231220
2023-12-21,2023,12,21,Quinta-feira,Dezembro,3,False,20231221
2023-12-22,2023,12,22,Sexta-feira,Dezembro,4,False,20231222
2023-12-23,2023,12,23,Sábado,Dezembro,5,True,20231223
2023-12-24,2023,12,24,Domingo,Dezembro,6,True,20231224
2023-12-25,2023,12,25,Segunda-feira,Dezembro,0,False,20231225
2023-12-26,2023,12,26,Terça-feira,Dezembro,1,False,20231226
2023-12-27,2023,12,27,Quarta-feira,Dezembro,2,False,20231227
2023-12-28,2023,12,28,Quinta-feira,Dezembro,3,False,20231228
2023-12-29,2023,12,29,Sexta-feira,Dezembro,4,False,20231229
2023-12-30,2023,12,30,Sábado,Dezembro,5,True,20231230
2023-12-31,2023,12,31,Domingo,Dezembro,6,True,20231231
2024-01-01,2024,1,1,Segunda-feira,Janeiro,0,False,20240101
2024-01-02,2024,1,2,Terça-feira,Janeiro,1,False,20240102
2024-01-03,2024,1,3,Quarta-feira,Janeiro,2,False,20240103
2024-01-04,2024,1,4,Quinta-feira,Janeiro,3,False,20240104
2024-01-05,2024,1,5,Sexta-feira,Janeiro,4,False,20240105
2024-01-06,2024,1,6,Sábado,Janeiro,5,True,20240106
2024-01-07,2024,1,7,Domingo,Janeiro,6,True,20240107
2024-01-08,2024,1,8,Segunda-feira,Janeiro,0,False,20240108
2024-01-09,2024,1,9,Terça-feira,Janeiro,1,False,20240109
2024-01-10,2024,1,10,Quarta-feira,Janeiro,2,False,20240110
